doi,group_id,n_rows,group_n_dois
10.1006/jcht.1996.0019,67,9,1
10.1006/jcht.1996.0055,68,3,1
10.1006/jcht.1996.0108,69,1,1
10.1006/jcht.1996.0179,70,9,1
10.1006/jcht.1997.0277,71,7,1
10.1007/bf00647270,72,8,1
10.1007/bf00649571,73,4,1
10.1007/bf00649573,74,200,1
10.1007/bf00972527,75,7,1
10.1007/s10953-005-7691-2,76,41,1
10.1007/s10953-005-9007-8,77,10,1
10.1007/s10953-010-9568-z,78,9,1
10.1007/s10953-011-9673-7,79,5,1
10.1007/s10953-012-9872-x,80,5,1
10.1007/s10953-012-9876-6,81,2,1
10.1007/s10953-012-9894-4,82,12,1
10.1007/s10953-012-9917-1,83,18,1
10.1007/s10953-012-9951-z,84,24,1
10.1007/s10953-013-0010-1,85,54,1
10.1007/s10953-013-0074-y,86,66,1
10.1007/s10953-013-0076-9,87,9,1
10.1007/s10953-013-0089-4,88,15,1
10.1007/s10953-013-0110-y,30,77,2
10.1007/s10953-013-9960-6,89,36,1
10.1007/s10953-013-9962-4,90,7,1
10.1007/s10953-013-9998-5,91,36,1
10.1007/s10953-014-0160-9,92,45,1
10.1007/s10953-014-0169-0,93,15,1
10.1007/s10953-014-0171-6,94,5,1
10.1007/s10953-015-0339-8,95,54,1
10.1007/s10953-016-0484-8,96,63,1
10.1007/s10953-016-0526-2,97,3,1
10.1007/s10953-017-0664-1,98,30,1
10.1007/s10953-017-0681-0,99,42,1
10.1007/s10953-018-0758-4,100,24,1
10.1007/s10953-018-0763-7,101,63,1
10.1007/s10953-018-0788-y,102,134,1
10.1007/s10953-018-0808-y,103,49,1
10.1007/s10953-019-00853-7,104,16,1
10.1007/s10953-020-00980-6,105,49,1
10.1007/s10953-020-01011-0,106,9,1
10.1007/s10953-021-01084-5,107,5,1
10.1007/s10953-022-01209-4,108,14,1
10.1007/s10953-023-01353-5,109,72,1
10.1007/s10953-024-01370-y,110,27,1
