Solute_Canon,Solvent_Canon,Solvent,Temperature_K,LogS,Solubility(mole_fraction),MW,Source
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,DMSO,293.2,0.686541047545579,0.2565,293.40700000000004,10.1016/j.cjche.2013.05.001
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,DMSO,298.2,0.809171492923612,0.3149,293.40700000000004,10.1016/j.cjche.2013.05.001
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,DMSO,303.2,0.9744535722122748,0.4032,293.40700000000004,10.1016/j.cjche.2013.05.001
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,DMSO,308.2,1.1335543696960633,0.4947,293.40700000000004,10.1016/j.cjche.2013.05.001
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,DMSO,313.2,1.306913398360004,0.5945,293.40700000000004,10.1016/j.cjche.2013.05.001
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,DMSO,318.2,1.4486538373098934,0.6712,293.40700000000004,10.1016/j.cjche.2013.05.001
CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,CS(C)=O,DMSO,323.2,1.6440015712317542,0.7628,293.40700000000004,10.1016/j.cjche.2013.05.001
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CS(C)=O,DMSO,293.15,0.64361213286274,0.2380999999999999,271.443,10.1016/j.cjche.2022.10.022
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CS(C)=O,DMSO,298.15,0.6963435173696799,0.2617,271.443,10.1016/j.cjche.2022.10.022
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CS(C)=O,DMSO,303.15,0.7502206196696414,0.2873,271.443,10.1016/j.cjche.2022.10.022
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CS(C)=O,DMSO,308.15,0.8052004974086407,0.3148999999999999,271.443,10.1016/j.cjche.2022.10.022
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CS(C)=O,DMSO,313.15,0.8631038509328842,0.3454,271.443,10.1016/j.cjche.2022.10.022
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CS(C)=O,DMSO,318.15,0.9224553470179336,0.3779999999999999,271.443,10.1016/j.cjche.2022.10.022
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c(Cl)c1Cl,CS(C)=O,DMSO,323.15,0.9826118741560128,0.4122,271.443,10.1016/j.cjche.2022.10.022
Nc1ccc(Oc2ccc(N)cc2)cc1,CS(C)=O,DMSO,298.15,0.4021547697464478,0.152575,200.241,10.1016/j.fluid.2013.07.010
Nc1ccc(Oc2ccc(N)cc2)cc1,CS(C)=O,DMSO,303.15,0.4200370995893002,0.158583,200.241,10.1016/j.fluid.2013.07.010
Nc1ccc(Oc2ccc(N)cc2)cc1,CS(C)=O,DMSO,308.15,0.4391873625349309,0.165193,200.241,10.1016/j.fluid.2013.07.010
Nc1ccc(Oc2ccc(N)cc2)cc1,CS(C)=O,DMSO,313.15,0.4586976555523598,0.172145,200.241,10.1016/j.fluid.2013.07.010
Nc1ccc(Oc2ccc(N)cc2)cc1,CS(C)=O,DMSO,318.15,0.478539253184539,0.179432,200.241,10.1016/j.fluid.2013.07.010
Nc1ccc(Oc2ccc(N)cc2)cc1,CS(C)=O,DMSO,323.15,0.4988015415517203,0.187111,200.241,10.1016/j.fluid.2013.07.010
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CS(C)=O,DMSO,293.15,-0.5098467099561486,0.021477,214.246,10.1016/j.fluid.2020.112883
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CS(C)=O,DMSO,303.15,-0.3860371397103141,0.028613,214.246,10.1016/j.fluid.2020.112883
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CS(C)=O,DMSO,308.15,-0.3211056593373421,0.033223,214.246,10.1016/j.fluid.2020.112883
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CS(C)=O,DMSO,313.15,-0.2431551795106926,0.039674,214.246,10.1016/j.fluid.2020.112883
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CS(C)=O,DMSO,323.15,-0.1114623818275948,0.05345,214.246,10.1016/j.fluid.2020.112883
O=C(O)c1ccc(-c2ccc(C(=O)O)o2)o1,CS(C)=O,DMSO,298.15,-0.9645178613734566,0.0076799999999999,222.152,10.1016/j.fluid.2025.114355
O=C(O)c1ccc(-c2ccc(C(=O)O)o2)o1,CS(C)=O,DMSO,303.15,-0.8579185270275093,0.00984,222.152,10.1016/j.fluid.2025.114355
O=C(O)c1ccc(-c2ccc(C(=O)O)o2)o1,CS(C)=O,DMSO,313.15,-0.6213470777804319,0.017,222.152,10.1016/j.fluid.2025.114355
O=C(O)c1ccc(-c2ccc(C(=O)O)o2)o1,CS(C)=O,DMSO,323.15,-0.4005943179582139,0.0282,222.152,10.1016/j.fluid.2025.114355
O=C(O)c1ccc(-c2ccc(C(=O)O)o2)o1,CS(C)=O,DMSO,333.15,-0.2341876922398044,0.0412,222.152,10.1016/j.fluid.2025.114355
O=C(O)c1ccc(-c2ccc(C(=O)O)o2)o1,CS(C)=O,DMSO,343.15,0.0234756764918072,0.0728,222.152,10.1016/j.fluid.2025.114355
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CS(C)=O,DMSO,298.15,-0.6127405615233579,0.0171,328.2730000000001,10.1016/j.jct.2016.05.003
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CS(C)=O,DMSO,303.15,-0.5823249742347638,0.0184,328.2730000000001,10.1016/j.jct.2016.05.003
COc1c(O)cc2c(c1O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OC2=O,CS(C)=O,DMSO,308.15,-0.5474142757370334,0.02,328.2730000000001,10.1016/j.jct.2016.05.003
